detector,rad_type,det_id,filename,signal,proton_co60_ratio
mcp,Co60,1,1_5.dat,1307467668.0,
mcp,Co60,2,2_6.dat,1236974721.0,
mcp,Co60,3,3_7.dat,1290798705.5,
mcp,Co60,4,4_8.dat,1288079673.5,
mcp,Co60,5,5_9.dat,1290176152.0,
mcp,Co60,6,6_10.dat,1250622328.5,
mcp,Co60,7,7_11.dat,1269109203.5,
mcp,Co60,8,8_12.dat,1187613349.5,
mcp,Co60,9,9_13.dat,1184921432.0,
mcp,Co60,10,10_14.dat,1187950412.5,
mcp,Co60,11,11_15.dat,1320294968.0,
mcp,Co60,12,12_16.dat,1306198229.0,
mcp,Co60,13,13_17.dat,1221328386.0,
mcp,Co60,14,14_18.dat,1202386267.5,
mcp,Co60,15,15_19.dat,1237306872.5,
mcp,Co60,16,16_20.dat,1311240304.5,
mcp,Co60,17,17_21.dat,1320761783.0,
mcp,Co60,18,18_22.dat,1249169042.0,
mcp,Co60,19,19_25.dat,1236022726.5,
mcp,Co60,20,20_26.dat,1274483840.5,
mcp,Co60,21,21_27.dat,1292538957.0,
mcp,Co60,22,22_28.dat,1231351977.5,
mcp,Co60,23,23_29.dat,1252831349.5,
mcp,Co60,24,24_30.dat,1230225819.5,
mcp,Co60,25,25_31.dat,1275914928.5,
mcp,Co60,26,26_32.dat,1252399359.0,
mcp,Co60,27,27_33.dat,1297177395.0,
mcp,Co60,28,28_34.dat,1268225083.5,
mcp,Co60,29,29_35.dat,1224794821.5,
mcp,Co60,30,30_36.dat,1258474225.5,
mcp,Co60,31,31_37.dat,1309161413.5,
mcp,Co60,32,32_38.dat,1216051833.0,
mcp,Co60,33,33_39.dat,1260505210.0,
mcp,Co60,34,34_40.dat,1250203886.0,
mcp,Co60,35,35_41.dat,1239546862.5,
mcp,Co60,36,36_42.dat,1237801951.0,
mcp,Co60,37,37_43.dat,1290008233.0,
mcp,Co60,38,38_44.dat,1213336438.0,
mcp,Co60,39,39_47.dat,1231585346.5,
mcp,Co60,40,40_48.dat,1302703538.5,
mcp,Co60,41,41_49.dat,1209845460.5,
mcp,Co60,42,42_50.dat,1224379537.5,
mcp,Co60,43,43_51.dat,1209305383.5,
mcp,Co60,44,44_52.dat,1264017047.0,
mcp,Co60,45,45_53.dat,1289118482.0,
mcp,Co60,46,46_54.dat,1274524099.5,
mcp,Co60,47,47_55.dat,1230951294.5,
mcp,Co60,48,48_56.dat,1244521822.5,
mcp,Co60,49,49_57.dat,1329205735.0,
mcp,Co60,50,50_58.dat,1262293068.0,
mcp,Co60,51,51_59.dat,1264304909.0,
mcp,Co60,52,52_60.dat,1271317351.5,
mcp,Co60,53,53_61.dat,1213138314.5,
mcp,Co60,54,54_62.dat,1182187181.5,
mcp,Co60,55,55_63.dat,1245945168.0,
